file_name,zero_crossing,spectral_centroid,spectral_rolloff,spectral_bandwidth,chroma_frequency,rmse,delta,melspectogram,tempo,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,label
(Tomake Paowa)  - Hridoy Khan & Tasnim Anika Feat. Thilina Boralessa.mp3,125424,1770.8893938300164,3893.575093960413,2414.81061489148,0.31579537332154545,0.22255197,-7.66168e-08,12.977707740700637,172.265625,-107.90625730193544,116.49438244774639,23.320857422577802,17.535450798844604,9.38284607288207,6.8543927340839454,-0.2937043854631244,-0.007063807745504018,-7.9149260531270365,1.532802909965431,-5.300817218528663,3.1649907196030402,-3.8671794339169203,5.325016050378951,1.176338115094052,-0.7887549252631894,-6.3432880655648685,2.48814849969795,0.047026791350986835,7.2119183682663675,adhunik
008. Jai Bole Jete Naire - Jewel (1980).mp3,308658,2549.34998887363,4986.658879712532,2193.6179810945346,0.31011331715141754,0.15693034,8.893313e-08,5.1182713366537165,143.5546875,-68.45209463534952,81.1517771192697,-35.8041539957259,44.55089755646341,-17.02168641302142,18.24499645077615,-18.74138340408709,12.376125351989193,-16.1160408444588,8.450345551417737,-11.745540750777689,8.358729134204657,-12.691169219549842,11.393858495777181,-6.176215072598778,9.947330457332047,-6.987707829376524,7.9359047306121,-9.452454917306214,1.5826993682887431,adhunik
03. Doob   Habib  ft Mousumi & Mosharraf Karim  Projapoti  Movie  Song.mp3,158328,2013.718396497468,4573.595848464346,2515.9944130110716,0.3016629414600146,0.093735896,1.3408241e-07,2.497263438697639,103.359375,-193.04391556467053,99.47206462631391,21.751411314304395,21.65315153541375,7.772928347780975,3.1848545551602916,-0.9639986186501802,0.4151763638509666,-12.447336793979348,-2.7460296111616933,-8.93261535130775,-3.361614989288115,-6.730813533972879,0.1841619558131484,-4.139533228958667,4.409800626162366,3.1908346219670634,4.8620903046366974,-6.406590423802931,-0.7052870006607789,adhunik
034. Mukhe Bolo Valobashi by Muni Kis.mp3,136711,1827.4953029357735,4215.075765786438,2284.762195782187,0.3498751430133052,0.039456554,-1.9084828e-08,0.42197502699787415,135.99917763157896,-264.4759526552143,110.05737692063681,7.935530847717393,29.494746023985684,0.9085309738627617,13.580350457046459,-2.774142887802552,8.508934438715293,-0.37424143825007294,1.2209136644838172,5.370642367932783,8.563364499312074,-7.990767404040388,3.611351929458472,-4.211267562118074,5.490051291760853,-7.556331371095796,1.1243021719117157,-4.306442590229914,0.9576629591607261,adhunik
05. Abar elo Je Shondha by Happy Akhand.mp3,238711,1715.8322350369792,3303.9492962945496,1587.4884721306319,0.30013229849723516,0.14286987,-5.3559038e-08,4.311441829562384,92.28515625,-122.89578287443835,129.641582285747,-47.87859298582764,64.53336876633037,-1.8623327236801959,12.737128073198306,3.6988111091397142,-2.0323261889451114,-4.651216419314315,-0.974656028579321,-7.285621205188266,-1.2301011308527627,-5.323076259568196,-3.1947749318029937,-7.124155422824876,-4.431173482016566,-4.797250391914438,-4.686699832390362,-4.393025136235278,-1.7492951806051704,adhunik
07. Habib & Fuad's 'Cholo Na'  Bengali Holiday Romance Song  2018  Angshu  Asif Iqbal  Sharlina.mp3,267538,2574.3085636714873,5393.5799234893775,2495.217215519532,0.3726402132075221,0.10336702,3.9516284e-08,3.0405040212338235,103.359375,-149.21251528712003,72.40546296084008,0.016790990042266817,10.996156899006023,0.2906969456925088,4.290157434822122,-3.063544642864315,0.7588802642439598,-8.891267920483314,1.4370287655031846,-5.248885013496565,0.08140020600289152,-6.982171517682554,-2.8049118021331942,-5.873360757171873,-1.3886788621270632,-5.242093536263489,2.5937615006598502,-3.982890184482449,0.20624724274501613,adhunik
079. Labu Rahman - Shomoy Hoyeche.mp3,433547,3755.1787371459004,7863.356328768938,3199.86135507142,0.3480055568728237,0.12850703,-6.746569e-08,3.5759401153794865,123.046875,-68.96851656330809,45.96437780816194,25.83972545746529,24.850230780398736,7.95725890838343,7.149701124701281,-0.7405549728896902,5.477234166225879,-0.9305826947181255,0.6703370570946614,0.2753188268824167,4.602137582137934,-1.9307948598003704,1.8745042686685949,-1.899774473807602,2.36014426078895,-4.761767672204558,1.5766940560305724,-6.627157288377773,-1.8623551017483961,adhunik
080. Valobasha jodi tmi.mp3,312310,2722.991559867403,5548.152024955741,2493.2173619111377,0.3335167837065994,0.1852896,1.4902729e-07,7.4181739673147415,92.28515625,-31.6990456789966,74.23235297112394,-13.639330332105668,24.39190839692377,-19.158809787894693,-2.034246358451564,-10.26821386882652,-1.209156984089928,-10.808895690346647,3.937523125540281,-6.491222779946607,3.6554905285979644,-10.229151894485756,-0.1950599199381983,-5.125294452430159,-3.1066390578293968,-7.477651031781383,0.519036138562971,-11.476545576211233,-1.7262847247713684,adhunik
09. shojoni -nova.mp3,159501,2098.6792951744465,4737.404679156025,2461.3178742558416,0.27423790030148726,0.12976018,-1.8352317e-07,4.283167250903026,92.28515625,-144.1974190187372,90.26654238347336,21.554508808197706,41.76071328635755,-5.7122872798556426,6.148119961236464,2.2867714423747163,4.662290370382772,-10.137357808613391,4.10892727640234,-2.3375010147097224,2.3394146275195404,-2.8055752341032023,0.6089668332680482,-4.628156102793539,0.5705792497191885,-6.472505608040983,0.3347292926873142,-6.418737951523611,-2.945848089610592,adhunik
10. Dak Diyachen Doyal  Fuad ft Anila  Bangla Song 2018  Lyrical Video   EXCLUSIVE.mp3,197439,2065.8759316478727,4253.500059405474,2295.789647546904,0.3313867959432291,0.1652528,-8.2205304e-08,8.116124058958196,151.99908088235293,-114.83823394423716,99.19501322594802,0.8535786554414236,33.6766678767969,4.135198602347085,1.5401907969023694,-0.9167627145912757,-1.7643886166241365,-4.999579106967269,7.006972729447576,-5.068955224375029,5.469034081774139,-4.53133706064159,1.1243235170768988,-0.9285092180532286,-0.224609349151361,-2.67912073248407,-1.090098042300896,-2.1199272757384944,2.074786587796012,adhunik
